originregion_id,originregion_name,destinationregion_id,destinationregion_name,regionflow_2000_,regionflow_2002_,regionflow_2004_,regionflow_2006_,regionflow_2008_,regionflow_2010_,xxx,origin_iso,origin_name,destination_iso,destination_name,countryflow_2000,countryflow_2002,countryflow_2004,countryflow_2006,countryflow_2008,countryflow_2010,origin_show,destination_show
1,Nord,7,Nord West,40706,41264,41693,41570,41397,42206,,3,Braunschweig,386,Rheinisch-Bergischer Kreis,8,13,9,3,10,6,1,1
1,Nord,7,Nord West,40706,41264,41693,41570,41397,42206,,3,Braunschweig,387,Rhein-Kreis Neuss,12,7,15,10,6,7,1,1
1,Nord,7,Nord West,40706,41264,41693,41570,41397,42206,,3,Braunschweig,388,Rhein-Sieg-Kreis,19,22,7,18,12,11,1,1
1,Nord,7,Nord West,40706,41264,41693,41570,41397,42206,,3,Braunschweig,390,Soest,12,4,3,11,9,16,1,1
1,Nord,7,Nord West,40706,41264,41693,41570,41397,42206,,3,Braunschweig,392,Steinfurt,8,9,10,11,16,26,1,1
1,Nord,7,Nord West,40706,41264,41693,41570,41397,42206,,3,Braunschweig,393,Unna,26,22,22,24,24,20,1,1
1,Nord,7,Nord West,40706,41264,41693,41570,41397,42206,,3,Braunschweig,394,Viersen,11,3,5,4,6,4,1,1
1,Nord,7,Nord West,40706,41264,41693,41570,41397,42206,,3,Braunschweig,395,Warendorf,7,9,3,1,8,11,1,1
1,Nord,7,Nord West,40706,41264,41693,41570,41397,42206,,3,Braunschweig,396,Wesel,10,4,10,10,9,5,1,1
1,Nord,7,Nord West,40706,41264,41693,41570,41397,42206,,3,Braunschweig,397,Wuppertal,26,6,18,14,3,14,1,1
1,Nord,1,Nord,290532,290261,285487,268759,258607,277997,,4,Bremen,3,Braunschweig,62,67,68,61,101,114,1,1
1,Nord,1,Nord,290532,290261,285487,268759,258607,277997,,4,Bremen,4,Bremen,0,0,0,0,0,0,1,1
1,Nord,1,Nord,290532,290261,285487,268759,258607,277997,,4,Bremen,13,Emsland,80,80,67,84,118,110,1,1
1,Nord,1,Nord,290532,290261,285487,268759,258607,277997,,4,Bremen,18,Göttingen,36,32,34,34,36,30,1,1
1,Nord,1,Nord,290532,290261,285487,268759,258607,277997,,4,Bremen,20,Hamburg,922,850,954,1086,1301,1281,1,1
1,Nord,1,Nord,290532,290261,285487,268759,258607,277997,,4,Bremen,22,Harburg,69,56,76,70,99,92,1,1
1,Nord,1,Nord,290532,290261,285487,268759,258607,277997,,4,Bremen,24,Herzogtum Lauenburg,23,20,19,24,29,20,1,1
1,Nord,1,Nord,290532,290261,285487,268759,258607,277997,,4,Bremen,25,Hildesheim,72,50,44,55,57,56,1,1
1,Nord,1,Nord,290532,290261,285487,268759,258607,277997,,4,Bremen,27,Kiel,112,111,91,106,127,128,1,1
1,Nord,1,Nord,290532,290261,285487,268759,258607,277997,,4,Bremen,29,Lübeck,55,69,87,58,71,95,1,1
1,Nord,1,Nord,290532,290261,285487,268759,258607,277997,,4,Bremen,31,Lüneburg,60,75,78,76,80,76,1,1
1,Nord,1,Nord,290532,290261,285487,268759,258607,277997,,4,Bremen,36,Oldenburg,271,310,290,292,357,357,1,1
1,Nord,1,Nord,290532,290261,285487,268759,258607,277997,,4,Bremen,39,Osnabrück,46,74,67,69,76,75,1,1
1,Nord,1,Nord,290532,290261,285487,268759,258607,277997,,4,Bremen,42,Ostholstein,22,38,34,33,27,45,1,1
1,Nord,1,Nord,290532,290261,285487,268759,258607,277997,,4,Bremen,44,Pinneberg,49,77,53,57,66,64,1,1
1,Nord,1,Nord,290532,290261,285487,268759,258607,277997,,4,Bremen,46,Region Hannover,346,379,397,371,486,494,1,1
1,Nord,1,Nord,290532,290261,285487,268759,258607,277997,,4,Bremen,47,Rendsburg-Eckernförde,26,42,48,46,49,59,1,1
1,Nord,1,Nord,290532,290261,285487,268759,258607,277997,,4,Bremen,51,Schleswig-Flensburg,23,29,19,39,49,48,1,1
1,Nord,1,Nord,290532,290261,285487,268759,258607,277997,,4,Bremen,52,Segeberg,34,33,47,38,56,51,1,1
1,Nord,1,Nord,290532,290261,285487,268759,258607,277997,,4,Bremen,56,Stormarn,34,32,42,35,42,53,1,1
1,Nord,2,Nord Ost,25323,25117,24412,24678,22518,27203,,4,Bremen,65,Barnim,4,14,8,13,9,6,1,1
1,Nord,2,Nord Ost,25323,25117,24412,24678,22518,27203,,4,Bremen,66,Berlin,692,639,583,677,840,1012,1,1
